scope,text,layer,texttype,x_um,y_um
sky130_fd_sc_hd__nor2_2,Y,67,5,1.615,1.87
sky130_fd_sc_hd__nor2_2,A,67,5,0.23500000000000001,1.19
sky130_fd_sc_hd__nor2_2,VGND,68,5,0.23500000000000001,0.0
sky130_fd_sc_hd__nor2_2,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__nor2_2,VPB,64,5,0.23500000000000001,2.72
sky130_fd_sc_hd__nor2_2,VNB,64,59,0.23500000000000001,0.0
sky130_fd_sc_hd__nor2_2,nor2_2,83,44,0.0,0.0
sky130_fd_sc_hd__a21boi_2,B1_N,67,5,0.23,0.85
sky130_fd_sc_hd__a21boi_2,A2,67,5,3.475,1.53
sky130_fd_sc_hd__a21boi_2,A1,67,5,3.015,1.19
sky130_fd_sc_hd__a21boi_2,Y,67,5,1.635,0.51
sky130_fd_sc_hd__a21boi_2,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21boi_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__a21boi_2,VPB,64,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21boi_2,VNB,64,59,0.23500000000000001,0.0
sky130_fd_sc_hd__a21boi_2,a21boi_2,83,44,0.0,0.0
sky130_fd_sc_hd__o21bai_2,B1_N,67,5,0.23,1.19
sky130_fd_sc_hd__o21bai_2,Y,67,5,1.61,1.53
sky130_fd_sc_hd__o21bai_2,A2,67,5,2.5300000000000002,1.19
sky130_fd_sc_hd__o21bai_2,A1,67,5,3.45,1.19
sky130_fd_sc_hd__o21bai_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__o21bai_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__o21bai_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__o21bai_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__o21bai_2,o21bai_2,83,44,0.0,0.0
sky130_fd_sc_hd__and2_2,A,67,5,0.6900000000000001,1.19
sky130_fd_sc_hd__and2_2,X,67,5,2.07,0.85
sky130_fd_sc_hd__and2_2,A,67,5,0.23,1.19
sky130_fd_sc_hd__and2_2,X,67,5,2.07,0.51
sky130_fd_sc_hd__and2_2,X,67,5,2.07,1.19
sky130_fd_sc_hd__and2_2,X,67,5,2.07,1.53
sky130_fd_sc_hd__and2_2,X,67,5,2.07,1.87
sky130_fd_sc_hd__and2_2,X,67,5,2.07,2.21
sky130_fd_sc_hd__and2_2,B,67,5,1.1500000000000001,1.19
sky130_fd_sc_hd__and2_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__and2_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__and2_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__and2_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__and2_2,and2_2,83,44,0.0,0.0
sky130_fd_sc_hd__xor2_2,X,67,5,5.75,1.53
sky130_fd_sc_hd__xor2_2,B,67,5,3.91,1.19
sky130_fd_sc_hd__xor2_2,A,67,5,1.1500000000000001,1.53
sky130_fd_sc_hd__xor2_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__xor2_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__xor2_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__xor2_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__xor2_2,xor2_2,83,44,0.0,0.0
sky130_fd_sc_hd__or2_2,B,67,5,0.23500000000000001,1.19
sky130_fd_sc_hd__or2_2,X,67,5,2.075,1.87
sky130_fd_sc_hd__or2_2,A,67,5,1.155,1.19
sky130_fd_sc_hd__or2_2,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__or2_2,VGND,68,5,0.23500000000000001,0.0
