cell,x_um,y_um,orient
VIA_via3_4_2000_480_1_5_400_400,86.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,86.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,116.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,116.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,116.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,146.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,146.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,146.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,176.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,176.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,176.44,13.6,N
VIA_M2M3_PR,158.47,13.94,N
VIA_M2M3_PR,173.65,13.94,N
VIA_M2M3_PR,186.99,13.94,N
VIA_M2M3_PR,194.81,13.94,N
VIA_L1M1_PR_MR,154.79,14.11,N
VIA_M1M2_PR,154.79,14.11,N
VIA_M1M2_PR,159.85,14.11,N
VIA_L1M1_PR_MR,163.07,14.11,N
VIA_M1M2_PR,169.97,14.11,N
VIA_L1M1_PR_MR,170.89,14.11,N
VIA_M1M2_PR,171.35,14.11,N
VIA_L1M1_PR_MR,171.81,14.11,N
VIA_M1M2_PR,171.81,14.11,N
VIA_L1M1_PR_MR,172.73,14.11,N
VIA_M1M2_PR,174.57,14.11,N
VIA_M1M2_PR,183.31,14.11,N
VIA_M1M2_PR,186.07,14.11,N
VIA_M1M2_PR,162.15,14.45,N
VIA_M1M2_PR,173.65,14.45,N
VIA_L1M1_PR_MR,174.11,14.45,N
VIA_M1M2_PR,177.33,14.45,N
VIA_M1M2_PR,179.63,14.45,N
VIA_L1M1_PR_MR,184.23,14.45,N
VIA_M1M2_PR,185.15,14.45,N
VIA_M2M3_PR,173.19,14.62,N
VIA_M2M3_PR,176.41,14.62,N
VIA_M2M3_PR,180.55,14.62,N
VIA_M3M4_PR,181.7,14.62,N
VIA_L1M1_PR_MR,155.71,14.79,N
VIA_M1M2_PR,156.17,14.79,N
VIA_M1M2_PR,157.55,14.79,N
VIA_L1M1_PR_MR,159.85,14.79,N
VIA_M1M2_PR,161.23,14.79,N
VIA_M1M2_PR,167.21,14.79,N
VIA_M1M2_PR,168.13,14.79,N
VIA_L1M1_PR_MR,168.13,14.79,N
VIA_M1M2_PR,170.43,14.79,N
VIA_L1M1_PR_MR,177.79,14.79,N
VIA_L1M1_PR_MR,180.09,14.79,N
VIA_M1M2_PR,180.09,14.79,N
VIA_M1M2_PR,183.31,14.79,N
VIA_M1M2_PR,185.61,14.79,N
VIA_L1M1_PR_MR,154.33,15.13,N
VIA_M1M2_PR,154.79,15.13,N
VIA_L1M1_PR_MR,155.25,15.13,N
VIA_L1M1_PR_MR,156.63,15.13,N
VIA_L1M1_PR_MR,157.09,15.13,N
VIA_L1M1_PR_MR,158.01,15.13,N
VIA_M1M2_PR,158.47,15.13,N
VIA_L1M1_PR_MR,159.39,15.13,N
VIA_M1M2_PR,159.39,15.13,N
VIA_L1M1_PR_MR,160.31,15.13,N
VIA_M1M2_PR,161.69,15.13,N
VIA_L1M1_PR_MR,161.69,15.13,N
VIA_L1M1_PR_MR,163.07,15.13,N
VIA_L1M1_PR_MR,163.99,15.13,N
VIA_M1M2_PR,166.29,15.13,N
VIA_L1M1_PR_MR,169.05,15.13,N
VIA_M1M2_PR,172.27,15.13,N
VIA_M1M2_PR,174.11,15.13,N
VIA_L1M1_PR_MR,175.32,15.13,N
VIA_L1M1_PR_MR,175.95,15.13,N
VIA_L1M1_PR_MR,176.41,15.13,N
VIA_M1M2_PR,176.87,15.13,N
VIA_L1M1_PR_MR,177.33,15.13,N
VIA_M1M2_PR,178.25,15.13,N
VIA_L1M1_PR_MR,178.71,15.13,N
VIA_M1M2_PR,180.55,15.13,N
